0;0;0;0;land;false;unknown;0
1;72;204;253;land;false;hills;1
2;148;146;253;land;false;plains;1
3;228;205;245;land;false;forest;1
4;249;27;247;land;false;plains;1
5;121;225;174;land;false;plains;1
6;226;225;76;land;false;plains;1
7;221;222;113;land;false;plains;1
8;223;73;207;land;false;plains;1
9;240;175;169;land;false;mountain;1
10;226;247;242;land;false;forest;1
11;223;225;143;land;false;plains;1
12;198;171;134;land;false;hills;1
13;173;252;100;land;false;hills;1
14;242;177;114;land;false;plains;1
15;190;184;146;land;false;plains;1
16;199;219;120;land;false;hills;1
17;245;164;217;land;false;hills;1
18;164;230;116;land;false;hills;1
19;228;97;180;land;false;forest;1
20;172;220;177;land;false;plains;1
21;172;160;227;land;false;plains;1
22;71;218;246;land;false;plains;1
23;141;192;180;land;true;plains;1
24;113;184;220;land;false;desert;1
25;172;204;135;land;false;plains;1
26;217;201;204;land;false;plains;1
27;238;152;159;land;false;plains;1
28;147;146;240;land;false;plains;1
29;110;219;239;land;false;desert;1
30;235;241;165;land;false;plains;1
31;215;152;175;land;true;plains;1
32;168;253;139;land;false;hills;1
33;190;186;192;land;false;plains;1
34;157;122;239;land;false;desert;1
35;201;192;233;land;false;plains;1
36;127;177;229;land;false;plains;1
37;221;199;94;land;false;plains;1
38;137;243;244;land;false;plains;1
39;205;245;106;land;false;hills;1
40;183;188;150;land;false;mountain;1
41;220;198;238;land;false;plains;1
42;186;192;176;land;false;desert;1
43;198;225;170;land;false;desert;1
44;212;250;245;land;false;plains;1
45;173;237;245;land;false;plains;1
46;243;93;198;land;false;plains;1
47;227;179;131;land;false;desert;1
48;150;228;227;land;false;plains;1
49;224;177;183;land;false;forest;1
50;171;251;251;land;false;hills;1
51;187;201;191;land;false;plains;1
52;202;227;237;land;false;plains;1
53;253;111;245;land;false;plains;1
54;208;201;207;land;false;desert;1
55;228;115;221;land;false;plains;1
56;154;220;187;land;false;plains;1
57;143;187;246;land;false;plains;1
58;204;187;158;land;false;plains;1
59;235;194;89;land;false;plains;1
60;198;173;141;land;false;plains;1
61;206;194;173;land;false;plains;1
62;247;145;160;land;false;plains;1
63;222;243;164;land;false;desert;1
64;220;242;93;land;false;plains;1
65;200;176;170;land;false;plains;1
66;177;191;194;land;false;desert;1
67;45;219;248;land;false;plains;1
68;245;221;42;land;false;plains;1
69;169;206;193;land;false;plains;1
70;246;143;184;land;false;desert;1
71;239;189;233;land;false;forest;1
72;116;239;153;land;false;hills;1
73;131;205;192;land;false;plains;1
74;125;212;198;land;false;plains;1
75;207;107;231;land;false;forest;1
76;247;207;76;land;false;plains;1
77;147;180;215;land;false;hills;1
78;209;123;213;land;false;forest;1
79;183;232;157;land;false;plains;1
80;191;250;62;land;false;mountain;1
81;110;244;153;land;false;forest;1
