30;naval_base;2767.00;9.50;1465.00;-0.98;5286
30;bunker;2779.00;9.60;1463.00;4.01;0
30;coastal_bunker;2773.00;9.50;1461.00;-1.77;0
30;dockyard;2772.00;9.53;1464.00;-0.98;0
30;supply_node;2778.00;9.70;1459.00;5.35;0
12;floating_harbor;3178.00;9.50;1681.00;1.57;9317
145;floating_harbor;3128.95;9.50;1747.95;-0.79;9228
1;floating_harbor;2961.26;9.50;1363.87;-2.03;9851
2;floating_harbor;2989.05;9.50;1354.05;-3.93;11751
5;floating_harbor;3111.84;9.50;1614.40;-0.42;3380
6;floating_harbor;2848.18;9.50;1546.88;0.98;6560
7;floating_harbor;2883.00;9.50;1587.00;0.00;3314
13;floating_harbor;3177.87;9.50;1690.74;-3.61;3174
14;floating_harbor;2765.00;9.50;1497.00;0.00;9525
15;floating_harbor;2775.18;9.50;1498.88;0.98;9550
19;floating_harbor;2769.00;9.50;1438.00;0.97;9737
21;floating_harbor;2884.05;9.50;1380.05;-3.93;11834
23;floating_harbor;2784.14;9.50;1426.63;-4.51;9597
30;floating_harbor;2763.74;9.50;1459.87;-4.25;11465
35;floating_harbor;2866.13;9.50;1551.26;-0.46;480
59;floating_harbor;2951.63;9.50;1596.47;0.67;6325
63;floating_harbor;3079.30;9.50;1624.79;0.24;11343
103;floating_harbor;3035.74;9.50;1410.13;1.11;11901
114;floating_harbor;2930.00;9.50;1326.00;1.57;11824
122;floating_harbor;2740.30;9.50;1604.79;0.24;9364
129;floating_harbor;2822.00;9.50;1598.00;-1.78;9250
133;floating_harbor;2736.21;9.50;1624.36;-2.82;9350
135;floating_harbor;2684.13;9.50;1565.74;-2.68;11237
136;floating_harbor;2767.26;9.50;1673.87;-2.03;11136
137;floating_harbor;3351.70;9.50;1440.79;-0.24;9718
156;floating_harbor;3048.50;9.50;1302.60;1.19;12066
157;floating_harbor;3036.95;9.50;1371.95;-0.79;6831
158;floating_harbor;2949.00;9.50;1397.00;-3.14;6788
115;floating_harbor;3044.88;9.50;1257.18;-2.55;13256
58;floating_harbor;2976.00;9.50;1626.00;0.06;11331
38;floating_harbor;3080.90;9.50;1766.85;-1.74;11147
149;floating_harbor;3130.14;9.50;1792.37;1.37;11126
120;floating_harbor;2749.79;9.50;1711.70;-1.33;13270
142;floating_harbor;2919.12;9.50;1809.82;0.59;11100
110;floating_harbor;2972.74;9.50;1710.87;-4.25;11151
143;floating_harbor;2952.00;9.50;1850.00;0.97;9132
144;floating_harbor;3003.00;9.50;1904.00;-4.49;6214
62;floating_harbor;3009.70;9.50;1614.79;-0.24;9388
1;arms_factory;2394.00;11.68;1838.00;4.73;0
1;arms_factory;2378.00;12.03;1817.00;1.46;0
1;arms_factory;2396.00;12.50;1790.00;4.13;0
1;arms_factory;2345.00;16.70;1792.00;0.52;0
1;arms_factory;2387.00;12.05;1776.00;4.64;0
1;arms_factory;2354.00;14.60;1781.00;6.20;0
1;industrial_complex;2346.00;10.15;1862.00;2.58;0
1;industrial_complex;2393.00;10.32;1863.00;5.24;0
1;industrial_complex;2454.00;10.35;1818.00;3.09;0
1;industrial_complex;2395.00;10.85;1847.00;3.19;0
1;industrial_complex;2408.00;11.28;1833.00;1.02;0
