1;1665.00;10.70;734.00;big
1;1872.00;9.85;616.00;big
2;1995.00;10.20;466.00;big
2;2174.00;10.60;401.00;big
3;2599.00;12.50;432.00;big
3;2384.00;11.25;331.00;big
4;2406.00;11.82;678.00;big
4;2186.00;9.80;754.00;big
5;1961.00;12.48;824.00;big
5;1803.00;10.32;972.00;big
6;2578.00;10.50;660.00;big
6;2649.00;11.18;857.00;big
7;2817.00;11.82;912.00;big
7;2770.00;11.45;686.00;big
8;2930.00;11.05;459.00;big
8;2908.00;10.28;692.00;big
9;3248.00;11.70;1053.00;big
9;2924.00;10.35;1100.00;big
10;2532.00;10.23;1427.00;big
10;2657.00;12.70;1207.00;big
11;2332.85;10.50;1831.26;big
11;2280.01;17.20;1788.22;big
11;2423.97;11.20;1750.32;big
12;2412.00;11.25;934.00;big
12;2559.00;12.10;1012.00;big
13;1946.00;11.40;1183.00;big
13;2206.00;9.85;1284.00;big
14;2371.00;13.70;1096.00;big
14;2138.00;12.12;982.00;big
15;3123.00;14.68;749.00;big
15;3119.00;11.73;461.00;big
16;3372.00;10.10;627.00;big
16;3365.00;10.80;430.00;big
17;3663.00;10.20;487.00;big
17;3530.00;11.70;403.00;big
18;3631.00;10.10;694.00;big
18;3537.00;11.20;851.00;big
19;2783.00;9.50;552.00;big
19;2803.00;9.50;371.00;big
20;2641.00;9.50;172.00;big
20;2356.00;9.50;134.00;big
21;3038.00;9.50;212.00;big
21;3364.00;9.50;201.00;big
22;1792.00;9.50;360.00;big
22;2041.00;9.50;153.00;big
23;1439.00;9.50;511.00;big
23;1328.00;9.50;184.00;big
24;1709.00;9.50;1238.00;big
24;1377.00;9.50;963.00;big
25;2038.00;9.50;1729.00;big
25;1409.00;9.50;1732.00;big
26;2626.00;9.50;1792.00;big
26;3087.00;9.50;1750.00;big
27;3192.00;9.50;1298.00;big
27;2849.00;9.50;1397.00;big
28;3580.00;9.50;1770.00;big
28;3926.00;9.50;1779.00;big
29;3574.00;9.50;1246.00;big
29;3902.00;9.50;1221.00;big
30;3618.00;9.50;957.00;big
30;3323.00;9.50;860.00;big
31;4096.00;9.50;966.00;big
31;3893.00;9.50;925.00;big
32;4101.00;9.50;558.00;big
32;3829.00;9.50;625.00;big
33;4110.00;9.50;152.00;big
33;3739.00;9.50;235.00;big
34;5252.00;9.50;1538.00;big
34;4491.00;9.50;1561.00;big
35;4564.00;9.50;708.00;big
35;5287.00;9.50;721.00;big
36;5312.00;9.50;183.00;big
36;4653.00;9.50;187.00;big
37;554.00;9.50;1205.00;big
37;486.00;9.50;1785.00;big
38;254.00;9.50;417.00;big
38;816.00;9.50;404.00;big
